time, inp, bininp, pre, binpre
00:34:36, 37, 101001000000000, 37, 101001
00:34:36, 1284, 001000001010000, 1284, 00100000101
00:34:37, 16408, 000110000000001, 16384, 000000000000001
00:34:37, 8706, 010000000100010, 16384, 000000000000001
00:34:38, 2084, 001001000001000, 16384, 000000000000001
00:34:38, 776, 000100001100000, 16384, 000000000000001
00:34:39, 16424, 000101000000001, 16384, 000000000000001
00:34:39, 5184, 000000100010100, 16384, 000000000000001
00:34:40, 2084, 001001000001000, 16384, 000000000000001
00:34:40, 8204, 001100000000010, 24576, 000000000000011
00:34:41, 8197, 101000000000010, 24576, 000000000000011
00:34:41, 12352, 000000100000110, 24576, 000000000000011
00:34:42, 1092, 001000100010000, 24576, 000000000000011
00:34:43, 11264, 000000000011010, 24576, 000000000000011
00:34:43, 352, 000001101000000, 24576, 000000000000011
00:34:44, 16544, 000001010000001, 24576, 000000000000011
00:34:44, 4356, 001000001000100, 24576, 000000000000011
00:34:45, 16452, 001000100000001, 24576, 000000000000011
00:34:45, 162, 010001010000000, 24576, 000000000000011
00:34:46, 1064, 000101000010000, 24576, 000000000000011
00:34:46, 12416, 000000010000110, 24576, 000000000000011
00:34:47, 193, 100000110000000, 24576, 000000000000011
00:34:48, 18434, 010000000001001, 24576, 000000000000011
00:34:48, 18560, 000000010001001, 24576, 000000000000011
00:34:49, 16648, 000100001000001, 16384, 000000000000001
00:34:50, 2144, 000001100001000, 16384, 000000000000001
00:34:50, 18464, 000001000001001, 16384, 000000000000001
00:34:51, 1216, 000000110010000, 16384, 000000000000001
00:34:52, 2096, 000011000001000, 16384, 000000000000001
00:34:52, 8736, 000001000100010, 24576, 000000000000011
00:34:53, 1160, 000100010010000, 24576, 000000000000011
00:34:54, 8272, 000010100000010, 24576, 000000000000011
00:34:55, 6272, 000000010001100, 24576, 000000000000011
00:34:55, 4130, 010001000000100, 24576, 000000000000011
00:34:56, 24580, 001000000000011, 24576, 000000000000011
00:34:58, 176, 000011010000000, 24576, 000000000000011
00:34:59, 522, 010100000100000, 24576, 000000000000011
00:35:00, 2624, 000000100101000, 24576, 000000000000011
00:35:01, 16904, 000100000100001, 24576, 000000000000011
00:35:03, 138, 010100010000000, 24576, 000000000000011
00:35:04, 388, 001000011000000, 24576, 000000000000011
00:35:05, 17920, 000000000110001, 24576, 000000000000011
00:35:06, 24584, 000100000000011, 24576, 000000000000011
00:35:08, 8512, 000000101000010, 24576, 000000000000011
00:35:09, 5136, 000010000010100, 24576, 000000000000011
00:35:10, 16768, 000000011000001, 24576, 000000000000011
00:35:11, 1312, 000001001010000, 24576, 000000000000011
00:35:13, 4672, 000000100100100, 24576, 000000000000011
00:35:14, 18434, 010000000001001, 24576, 000000000000011
00:35:15, 1552, 000010000110000, 24576, 000000000000011
00:35:16, 2051, 110000000001000, 24576, 000000000000011
00:35:18, 70, 011000100000000, 24576, 000000000000011
00:35:19, 24832, 000000001000011, 24576, 000000000000011
00:35:20, 16897, 100000000100001, 24576, 000000000000011
00:35:22, 133, 101000010000000, 24576, 000000000000011
00:35:23, 35, 110001000000000, 24576, 000000000000011
00:35:24, 8288, 000001100000010, 24576, 000000000000011
00:35:25, 2192, 000010010001000, 24576, 000000000000011
