time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre	 votepre
15:55:06	 16	 0	 0000100000	 0	 [5]	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 256	 0	 0000000010	 0	 [9]	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 256	 0	 0000000010	 0	 [9]	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 1	 0	 1000000000	 0	 [1]	 []	 []
15:55:06	 64	 0	 0000001000	 0	 [7]	 []	 []
15:55:06	 8	 0	 0001000000	 0	 [4]	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 128	 0	 0000000100	 0	 [8]	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 4	 0	 0010000000	 0	 [3]	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:06	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 576	 0	 0000001001	 0	 [7, 10]	 []	 []
15:55:07	 9	 0	 1001000000	 0	 [1, 4]	 []	 []
15:55:07	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 256	 0	 0000000010	 0	 [9]	 []	 []
15:55:07	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 0	 0	 0000000000	 0	 []	 []	 []
15:55:07	 512	 64	 0000000001	 0000001	 [10]	 [7]	 [0, 0, 0, 0, 0, 0, 1]
15:55:07	 32	 0	 0000010000	 0	 [6]	 []	 [0, 0, 0, 0, 0, 0, 1]
15:55:07	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 1]
15:55:07	 64	 512	 0000001000	 0000000001	 [7]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 128	 0	 0000000100	 0	 [8]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 64	 512	 0000001000	 0000000001	 [7]	 [10]	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 4	 0	 0010000000	 0	 [3]	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 8	 1	 0001000000	 1	 [4]	 [1]	 [1]
15:55:07	 16	 0	 0000100000	 0	 [5]	 []	 [1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [1]
15:55:07	 264	 1	 0001000010	 1	 [4, 9]	 [1]	 [1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [1]
15:55:07	 168	 257	 0001010100	 100000001	 [4, 6, 8]	 [1, 9]	 [1, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 2	 0	 0100000000	 0	 [2]	 []	 [1, 0, 0, 0, 0, 0, 0, 0, 1]
15:55:07	 512	 64	 0000000001	 0000001	 [10]	 [7]	 [0, 0, 0, 0, 0, 0, 1]
15:55:07	 0	 0	 0000000000	 0	 []	 []	 [0, 0, 0, 0, 0, 0, 1]
