time	 inp	 pre	 bininp	 binpre	 lstinp	 lstpre
19:47:16	 0	 0	 0000000000	 0	 []	 []
19:47:16	 0	 0	 0000000000	 0	 []	 []
19:47:16	 0	 0	 0000000000	 0	 []	 []
19:47:16	 64	 0	 0000001000	 0	 [6]	 []
19:47:16	 9	 0	 1001000000	 0	 [0, 3]	 []
19:47:16	 32	 15	 0000010000	 1111	 [5]	 [0, 1, 2, 3]
19:47:16	 32	 15	 0000010000	 1111	 [5]	 [0, 1, 2, 3]
19:47:16	 0	 0	 0000000000	 0	 []	 []
19:47:16	 513	 8	 1000000001	 0001	 [0, 9]	 [3]
19:47:16	 0	 0	 0000000000	 0	 []	 []
19:47:17	 128	 31	 0000000100	 11111	 [7]	 [0, 1, 2, 3, 4]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 64	 31	 0000001000	 11111	 [6]	 [0, 1, 2, 3, 4]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 16	 527	 0000100000	 1111000001	 [4]	 [0, 1, 2, 3, 9]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 2	 520	 0100000000	 0001000001	 [1]	 [3, 9]
19:47:17	 128	 15	 0000000100	 1111	 [7]	 [0, 1, 2, 3]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 2	 521	 0100000000	 1001000001	 [1]	 [0, 3, 9]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 576	 15	 0000001001	 1111	 [6, 9]	 [0, 1, 2, 3]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 132	 521	 0010000100	 1001000001	 [2, 7]	 [0, 3, 9]
19:47:17	 128	 15	 0000000100	 1111	 [7]	 [0, 1, 2, 3]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 2	 521	 0100000000	 1001000001	 [1]	 [0, 3, 9]
19:47:17	 1	 520	 1000000000	 0001000001	 [0]	 [3, 9]
19:47:17	 8	 3	 0001000000	 11	 [3]	 [0, 1]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 16	 3	 0000100000	 11	 [4]	 [0, 1]
19:47:17	 1	 520	 1000000000	 0001000001	 [0]	 [3, 9]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 516	 3	 0010000001	 11	 [2, 9]	 [0, 1]
19:47:17	 1	 520	 1000000000	 0001000001	 [0]	 [3, 9]
19:47:17	 2	 521	 0100000000	 1001000001	 [1]	 [0, 3, 9]
19:47:17	 2	 521	 0100000000	 1001000001	 [1]	 [0, 3, 9]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 32	 3	 0000010000	 11	 [5]	 [0, 1]
19:47:17	 16	 3	 0000100000	 11	 [4]	 [0, 1]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 4	 3	 0010000000	 11	 [2]	 [0, 1]
19:47:17	 8	 3	 0001000000	 11	 [3]	 [0, 1]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 128	 15	 0000000100	 1111	 [7]	 [0, 1, 2, 3]
19:47:17	 256	 15	 0000000010	 1111	 [8]	 [0, 1, 2, 3]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 258	 521	 0100000010	 1001000001	 [1, 8]	 [0, 3, 9]
19:47:17	 0	 0	 0000000000	 0	 []	 []
19:47:17	 1	 520	 1000000000	 0001000001	 [0]	 [3, 9]
19:47:18	 512	 15	 0000000001	 1111	 [9]	 [0, 1, 2, 3]
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 548	 1	 0010010001	 1	 [2, 5, 9]	 [0]
19:47:18	 4	 3	 0010000000	 11	 [2]	 [0, 1]
19:47:18	 128	 15	 0000000100	 1111	 [7]	 [0, 1, 2, 3]
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 16	 3	 0000100000	 11	 [4]	 [0, 1]
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 272	 3	 0000100010	 11	 [4, 8]	 [0, 1]
19:47:18	 0	 0	 0000000000	 0	 []	 []
19:47:18	 516	 3	 0010000001	 11	 [2, 9]	 [0, 1]
19:47:18	 512	 15	 0000000001	 1111	 [9]	 [0, 1, 2, 3]
