time, inp, bininp, pre, binpre
20:09:05, 0, 000000000000, 0, 0
20:09:05, 0, 000000000000, 0, 0
20:09:05, 769, 100000001100, 0, 0
20:09:05, 0, 000000000000, 0, 0
20:09:05, 64, 000000100000, 0, 0
20:09:05, 128, 000000010000, 0, 0
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]
20:09:05, 1, 100000000000, 768, 0000000011
20:09:05, 16, 000010000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 512, 000000000100, 257, 100000001
20:09:05, 1152, 000000010010, 0, 0
20:09:05, 0, 000000000000, 0, 0
20:09:05, 0, 000000000000, 0, 0
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0]
20:09:05, 1552, 000010000110, 257, 100000001
20:09:05, 0, 000000000000, 0, 0
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 128, 000000010000, 1024, 00000000001
20:09:05, 8, 000100000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 324, 001000101000, 513, 1000000001
20:09:05, 8, 000100000000, 0, 0
[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 0.5]
20:09:05, 2320, 000010001001, 512, 0000000001
20:09:05, 0, 000000000000, 0, 0
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 128, 000000010000, 1024, 00000000001
[0.0, 0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 0.0, 0.6666666666666666]
20:09:05, 289, 100001001000, 2644, 001010100101
[0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 1.0, 0.6666666666666666]
20:09:05, 1, 100000000000, 800, 0000010011
[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
20:09:05, 512, 000000000100, 1297, 10001000101
[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 64, 000000100000, 260, 001000001
20:09:05, 0, 000000000000, 0, 0
[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 64, 000000100000, 260, 001000001
20:09:05, 0, 000000000000, 0, 0
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 32, 000001000000, 257, 100000001
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 32, 000001000000, 257, 100000001
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
20:09:05, 512, 000000000100, 1297, 10001000101
20:09:05, 0, 000000000000, 0, 0
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
20:09:05, 512, 000000000100, 1297, 10001000101
[0.0, 0.0, 0.0, 0.0, 0.4, 0.4, 0.0, 0.0, 1.0, 0.4]
20:09:05, 2049, 100000000001, 256, 000000001
[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 1.0]
20:09:05, 1026, 010000000010, 528, 0000100001
[1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 0.75]
20:09:05, 672, 000001010100, 1281, 10000000101
20:09:05, 0, 000000000000, 0, 0
[0.0, 0.0, 0.4, 0.0, 0.4, 1.0, 0.4, 0.0, 0.0, 1.0, 0.2, 0.6]
20:09:05, 385, 100000011000, 2592, 000001000101
[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 1.0, 0.5, 0.0, 0.25]
20:09:05, 1, 100000000000, 256, 000000001
[1.0, 0.0, 0.5, 0.0, 1.0, 0.5, 0.5, 0.75, 0.0, 1.0, 0.0, 0.5]
20:09:05, 1282, 010000001010, 657, 1000100101
[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]
20:09:05, 32, 000001000000, 897, 1000000111
[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.5]
20:09:05, 128, 000000010000, 801, 1000010011
20:09:05, 0, 000000000000, 0, 0
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
20:09:05, 10, 010100000000, 1280, 00000000101
20:09:05, 0, 000000000000, 0, 0
[0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 2048, 000000000001, 272, 000010001
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.5]
20:09:05, 128, 000000010000, 801, 1000010011
[0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0]
20:09:05, 1664, 000000010110, 257, 100000001
[0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]
20:09:05, 1024, 000000000010, 914, 0100100111
[0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 1.0]
20:09:05, 1024, 000000000010, 914, 0100100111
[0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5]
20:09:05, 66, 010000100000, 256, 000000001
[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 1.0, 0.6666666666666666]
20:09:05, 128, 000000010000, 1825, 10000100111
[0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]
20:09:05, 2048, 000000000001, 272, 000010001
[0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.5]
20:09:05, 80, 000010100000, 256, 000000001
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.5, 0.5, 0.5]
20:09:05, 256, 000000001000, 1, 1
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]
20:09:05, 4, 001000000000, 320, 000000101
[1.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.8, 0.4, 0.0, 0.8, 0.8]
20:09:05, 2324, 001010001001, 1601, 10000010011
[0.0, 1.0]
20:09:05, 8, 000100000000, 2, 01
20:09:05, 0, 000000000000, 0, 0
[0.375, 0.125, 0.75, 0.0, 0.625, 0.25, 0.0, 0.0, 1.0, 0.375, 0.25]
20:09:05, 2240, 000000110001, 276, 001010001
[0.2857142857142857, 0.0, 0.0, 0.0, 0.5714285714285714, 0.2857142857142857, 0.5714285714285714, 0.0, 1.0, 0.42857142857142855, 0.2857142857142857, 0.8571428571428571]
20:09:05, 132, 001000010000, 2384, 000010101001
20:09:05, 0, 000000000000, 0, 0
[1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 1.0, 1.0, 0.0, 0.75]
20:09:05, 544, 000001000100, 1409, 10000001101
[0.625, 0.375, 0.875, 0.0, 1.0, 0.25, 0.5, 0.75, 0.0, 0.625]
20:09:05, 3328, 000000001011, 661, 1010100101
[0.6666666666666666, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 1.0, 0.6666666666666666, 0.0, 1.0]
20:09:05, 512, 000000000100, 1457, 10001101101
[0.0, 1.0]
20:09:05, 8, 000100000000, 2, 01
20:09:05, 0, 000000000000, 0, 0
[0.0, 0.2, 0.0, 0.0, 0.8, 0.0, 0.4, 0.2, 1.0, 0.0, 0.0, 0.8]
20:09:05, 12, 001100000000, 2320, 000010001001
[0.5, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.5, 1.0, 0.5, 0.5]
