time	 inp	 bininp	 pre	 binpre	 lstinp	 lstpre
20:22:09	 2048	 0	 000000000001	 0	 [2048]	 []
20:22:09	 36	 2048	 001001000000	 000000000001	 [4, 32]	 [2048]
20:22:09	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:22:09	 1538	 2048	 010000000110	 000000000001	 [2, 512, 1024]	 [2048]
20:22:09	 4	 2080	 001000000000	 000001000001	 [4]	 [32, 2048]
20:22:09	 1	 2048	 100000000000	 000000000001	 [1]	 [2048]
20:22:09	 1152	 514	 000000010010	 0100000001	 [128, 1024]	 [2, 512]
20:22:09	 128	 3072	 000000010000	 000000000011	 [128]	 [1024, 2048]
20:22:09	 32	 2052	 000001000000	 001000000001	 [32]	 [4, 2048]
20:22:09	 0	 2048	 000000000000	 000000000001	 []	 [2048]
20:22:09	 2112	 0	 000000100001	 0	 [64, 2048]	 []
20:22:09	 145	 1024	 100010010000	 00000000001	 [1, 16, 128]	 [1024]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 8	 0	 000100000000	 0	 [8]	 []
20:22:09	 129	 16	 100000010000	 00001	 [1, 128]	 [16]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 16	 129	 000010000000	 10000001	 [16]	 [1, 128]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 1024	 514	 000000000010	 0100000001	 [1024]	 [2, 512]
20:22:09	 128	 17	 000000010000	 10001	 [128]	 [1, 16]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 776	 1026	 000100001100	 01000000001	 [8, 256, 512]	 [2, 1024]
20:22:09	 384	 537	 000000011000	 1001100001	 [128, 256]	 [1, 8, 16, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 256	 520	 000000001000	 0001000001	 [256]	 [8, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 2560	 1290	 000000000101	 01010000101	 [512, 2048]	 [2, 8, 256, 1024]
20:22:09	 1024	 514	 000000000010	 0100000001	 [1024]	 [2, 512]
20:22:09	 320	 520	 000000101000	 0001000001	 [64, 256]	 [8, 512]
20:22:09	 72	 768	 000100100000	 0000000011	 [8, 64]	 [256, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 24	 897	 000110000000	 1000000111	 [8, 16]	 [1, 128, 256, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 104	 768	 000101100000	 0000000011	 [8, 32, 64]	 [256, 512]
20:22:09	 2048	 576	 000000000001	 0000001001	 [2048]	 [64, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 80	 169	 000010100000	 10010101	 [16, 64]	 [1, 8, 32, 128]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 512	 1290	 000000000100	 01010000101	 [512]	 [2, 8, 256, 1024]
20:22:09	 1024	 514	 000000000010	 0100000001	 [1024]	 [2, 512]
20:22:09	 1024	 514	 000000000010	 0100000001	 [1024]	 [2, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 32	 72	 000001000000	 0001001	 [32]	 [8, 64]
20:22:09	 64	 40	 000000100000	 000101	 [64]	 [8, 32]
20:22:09	 256	 520	 000000001000	 0001000001	 [256]	 [8, 512]
20:22:09	 164	 89	 001001010000	 1001101	 [4, 32, 128]	 [1, 8, 16, 64]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 1024	 514	 000000000010	 0100000001	 [1024]	 [2, 512]
20:22:09	 2	 1536	 010000000000	 00000000011	 [2]	 [512, 1024]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 2176	 53	 000000010001	 101011	 [128, 2048]	 [1, 4, 16, 32]
20:22:09	 512	 1290	 000000000100	 01010000101	 [512]	 [2, 8, 256, 1024]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 70	 32	 011000100000	 000001	 [2, 4, 64]	 [32]
20:22:09	 256	 520	 000000001000	 0001000001	 [256]	 [8, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 2	 1604	 010000000000	 00100010011	 [2]	 [4, 64, 512, 1024]
20:22:09	 128	 53	 000000010000	 101011	 [128]	 [1, 4, 16, 32]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 18	 1733	 010010000000	 10100011011	 [2, 16]	 [1, 4, 64, 128, 512, 1024]
20:22:09	 1	 144	 100000000000	 00001001	 [1]	 [16, 128]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 128	 53	 000000010000	 101011	 [128]	 [1, 4, 16, 32]
20:22:09	 16	 129	 000010000000	 10000001	 [16]	 [1, 128]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 1032	 512	 000100000010	 0000000001	 [8, 1024]	 [512]
20:22:09	 2	 1604	 010000000000	 00100010011	 [2]	 [4, 64, 512, 1024]
20:22:09	 16	 129	 000010000000	 10000001	 [16]	 [1, 128]
20:22:09	 1024	 514	 000000000010	 0100000001	 [1024]	 [2, 512]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:09	 8	 864	 000100000000	 0000011011	 [8]	 [32, 64, 256, 512]
20:22:09	 1	 144	 100000000000	 00001001	 [1]	 [16, 128]
20:22:09	 128	 53	 000000010000	 101011	 [128]	 [1, 4, 16, 32]
20:22:09	 0	 0	 000000000000	 0	 []	 []
20:22:10	 160	 93	 000001010000	 1011101	 [32, 128]	 [1, 4, 8, 16, 64]
20:22:10	 136	 304	 000100010000	 000011001	 [8, 128]	 [16, 32, 256]
20:22:10	 0	 0	 000000000000	 0	 []	 []
20:22:10	 32	 204	 000001000000	 00110011	 [32]	 [4, 8, 64, 128]
