,P20865_126_S107_L004,P20865_122_S103_L004,P20865_114_S95_L004,P20865_113_S94_L004,P20865_105_S86_L004,P20865_102_S83_L004,P20865_120_S101_L004,P20865_135_S116_L004,P20865_139_S120_L004,P20865_131_S112_L004,P20865_112_S93_L004,P20865_134_S115_L004,P20865_144_S125_L004,P20865_111_S92_L004,P20865_171_S152_L004,P20865_141_S122_L004,P20865_130_S111_L004,P20865_151_S132_L004,P20865_153_S134_L004,P20865_132_S113_L004,P20865_110_S91_L004,P20865_115_S96_L004,P20865_125_S106_L004,P20865_109_S90_L004,P20865_160_S141_L004,P20865_155_S136_L004,P20865_107_S88_L004,P20865_161_S142_L004,P20865_129_S110_L004,P20865_119_S100_L004,P20865_168_S149_L004,P20865_158_S139_L004,P20865_149_S130_L004,P20865_121_S102_L004,P20865_127_S108_L004,P20865_146_S127_L004,P20865_166_S147_L004,P20865_123_S104_L004,P20865_170_S151_L004,P20865_169_S150_L004,P20865_142_S123_L004,P20865_162_S143_L004,P20865_133_S114_L004,P20865_163_S144_L004,P20865_145_S126_L004,P20865_165_S146_L004,P20865_154_S135_L004,P20865_101_S82_L004,P20865_103_S84_L004,P20865_108_S89_L004,P20865_143_S124_L004,P20865_136_S117_L004,P20865_150_S131_L004,P20865_128_S109_L004,P20865_152_S133_L004,P20865_106_S87_L004,P20865_164_S145_L004,P20865_138_S119_L004,P20865_159_S140_L004,P20865_156_S137_L004,P20865_157_S138_L004,P20865_147_S128_L004,P20865_137_S118_L004,P20865_104_S85_L004,P20865_116_S97_L004,P20865_140_S121_L004,P20865_118_S99_L004,P20865_124_S105_L004,P20865_117_S98_L004,P20865_167_S148_L004,P20865_148_S129_L004
msp_0001,0,7.69378457810311e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26684424145242e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44935739128715e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msp_0003,0,0,0,0,0,0,0,0,0,7.51441271551019e-06,1.98485293698731e-06,1.45776352964167e-05,0,7.72150111130663e-07,2.78098042726133e-06,3.73371371017638e-06,1.28854920625919e-05,1.9722700915746e-07,0,9.46310584113164e-06,0,6.87821081664136e-07,0,0,3.18121746980307e-06,2.9727263395311e-07,0,0,1.27688746156319e-06,1.51412851911878e-06,0,0,1.44963910602436e-06,2.92927677973129e-06,0,3.26507069001548e-07,0,0,3.35505555631799e-06,5.80637999967992e-06,2.60702955861395e-06,0,2.5953824641814e-05,0,0,0,1.98562041866432e-07,0,1.86433818596103e-06,0,0,0,0,0,2.05451017697795e-06,0,0,0,0,2.32732060531563e-07,0,5.33802064801598e-07,0,0,0,0,0,0,0,0,0
msp_0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11203116740356e-09,0,0,0,0,0,0,0,0,0,0,0
msp_0005,1.01177132938031e-07,3.92382378958972e-08,1.84342888831241e-07,0,4.78816256258154e-05,2.2354757211293e-06,5.16795422494723e-07,2.69333127455877e-07,0,0,4.13994574637858e-06,0,3.28065103999876e-05,0,3.07637524151838e-05,0,1.82765651060914e-08,3.48919345018191e-05,1.78072220379153e-05,0,0,1.24367993047399e-07,1.07301068926849e-05,3.3408875856514e-08,0,1.74800950380827e-06,8.42697559322831e-06,1.06913386126138e-06,7.76044251363653e-07,1.80265657691308e-07,5.59518048996661e-08,6.03795032520583e-07,0,1.63050759378527e-06,6.87223142996741e-07,1.90226909940141e-06,0,2.51337082455776e-07,3.25998558692302e-06,2.86786070954416e-06,0,7.02802261085852e-08,2.91450723112941e-06,5.58454565550026e-07,1.30077981826617e-05,0,9.53059875584906e-06,1.29653677383993e-05,3.84535365228297e-07,1.88509317002286e-05,3.79682281266611e-08,6.19335382310789e-05,0,5.61077712490246e-08,1.11385186868106e-05,0,4.12583068886921e-07,0,0,2.91231604330569e-07,4.53497935702678e-07,7.49321296605765e-08,3.67922295381011e-07,1.89441680200809e-07,0,8.87281702084619e-08,0,0,5.2438210327982e-06,5.10175945561739e-07,2.0503278352815e-07
msp_0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55694150605191e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03300439120517e-08,0,0,0,0,0,0,0,5.8201730650197e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97923088659148e-06,0,0,0,0,0,0,0,0,0,0,0,0
msp_0007,7.29430314394581e-08,8.1090596451891e-07,5.53628475099892e-06,0,2.04391752829887e-06,0,1.52310136571273e-07,2.7295324006955e-05,0,5.56752704838709e-06,2.04782568936189e-06,7.01801054030758e-06,0,1.21218662379071e-06,4.51966407586682e-07,4.62898452975474e-06,2.85273586887459e-06,1.61552113625183e-08,2.5480992213207e-06,2.16077738192585e-05,7.2485787774582e-07,9.42053413943548e-06,0,3.36314247230371e-06,4.6447075250904e-07,2.67212881105932e-07,1.04164830371746e-05,0,7.62214306208562e-07,2.32348257313783e-06,2.00173603963256e-07,3.93013572527647e-07,2.09116897662648e-06,1.24001612060278e-06,0,0,0,4.96890576912874e-07,2.44936344376116e-07,2.15591542299849e-06,1.60952043862368e-06,5.46983338090638e-06,5.58526904494693e-06,4.61488376960791e-05,5.04265097952792e-05,2.16773312200047e-05,1.44946065007707e-08,0,3.14138310660022e-06,1.09639216912556e-05,0,9.76644552172565e-06,0,0,8.10468614088396e-07,5.03008932242331e-06,1.58229392567332e-05,1.9432771751279e-07,3.24118170628312e-06,1.01355309888518e-06,2.98384407612871e-05,3.40063668231131e-08,1.61119205440507e-06,3.02477921060218e-07,5.62756524850041e-07,8.06559394592306e-06,1.91816637046105e-05,2.24650038686726e-05,2.35913958042037e-07,1.24045170387143e-05,0
msp_0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53865492122576e-06,1.1880086525552e-07,0,0,1.6683968334722e-05,0,0,9.33450215942681e-07,0,0,0,1.41755254764812e-07,0,3.72184098538062e-06,0,2.66160159996982e-06,0,2.70511933758189e-06,0,0,0,0,0,0,0,0,9.94624988700902e-08,0,8.91491136980734e-06,0,1.6918673634759e-06,6.57896227812748e-08,9.10806086878358e-06,1.47135129175212e-06,0,8.23063419058412e-06,4.39688912961575e-08,0,0,0,1.15028591947494e-06,9.21925360432654e-07,0
msp_0009,2.29950976986953e-09,0,0,0,7.74624151968461e-07,9.50307721060373e-09,1.03872440095449e-07,2.89119227388606e-08,4.79738487724767e-08,4.0566216801133e-07,1.08390412885946e-07,6.76511190530435e-06,1.94341199480245e-08,1.92221416639392e-07,0,1.90624403598965e-08,8.71352485537661e-08,1.02374440612604e-07,8.29998420487331e-08,1.25308152057096e-07,8.45125399006947e-07,0,3.16935982015873e-08,0,0,0,7.88726986430106e-07,0,6.70627752855532e-09,2.33321972258354e-08,0,0,1.36689936677677e-06,0,0,8.93140438500054e-09,0,0,0,0,8.62545068491099e-06,1.21586741111549e-08,3.37251194428099e-07,1.37282279051537e-08,1.34343535300042e-07,2.39580829782702e-08,2.55894879893617e-07,1.33883473955267e-07,9.71778451707722e-08,1.67195761089826e-06,0,9.55941070553909e-08,0,1.84796515578993e-07,6.31916609176327e-09,1.6040351013796e-06,0,1.47701646031492e-08,1.51144309102164e-06,0,1.81213738775054e-07,2.4014893201233e-08,2.86154322015287e-08,0,0,2.07017414973678e-08,2.29089122990473e-08,2.09890077587813e-07,0,1.13464103780675e-07,0
msp_0010,2.76288257152187e-07,0,0,0,0,3.37501339761156e-06,1.06144307073584e-06,0,0,0,2.23861005367502e-07,4.47166160860474e-06,0,0,7.2526117413402e-09,0,0,0,3.07316357942972e-05,0,2.61919653624386e-06,3.65075454739235e-08,4.02534069554032e-06,1.69693699180969e-08,5.45020526937177e-06,0,0,4.46030991853778e-05,0,0,3.68304518480143e-06,0,2.09399896405401e-06,7.04831147155991e-06,2.39557974386741e-06,0,0,0,1.4399118921366e-07,0,0,0,5.74901109445229e-08,0,0,0,5.89874587836451e-07,0,4.63659352251652e-08,0,0,1.55564792408212e-05,0,0,0,5.99752181806827e-07,0,0,0,0,1.90746746098864e-06,0,0,4.75045612673694e-08,0,0,7.14906131897732e-07,0,0,0,0
