,0,1
0,0,0
1,1,0
2,2,1
3,3,0
4,4,3
5,5,2
6,6,1
7,7,0
8,8,7
9,9,6
10,10,5
11,11,4
12,12,3
13,13,2
14,14,1
15,15,0
16,16,15
17,17,14
18,18,13
19,19,12
20,20,11
21,21,10
22,22,9
23,23,8
24,24,7
25,25,6
26,26,5
27,27,4
28,28,3
29,29,2
30,30,1
31,31,0
32,32,31
33,33,30
34,34,29
35,35,28
36,36,27
37,37,26
38,38,25
39,39,24
40,40,23
41,41,22
42,42,21
43,43,20
44,44,19
45,45,18
46,46,17
47,47,16
48,48,15
49,49,14
50,50,13
51,51,12
52,52,11
53,53,10
54,54,9
55,55,8
56,56,7
57,57,6
58,58,5
59,59,4
60,60,3
61,61,2
62,62,1
63,63,0
64,64,63
65,65,62
66,66,61
67,67,60
68,68,59
69,69,58
70,70,57
71,71,56
72,72,55
73,73,54
74,74,53
75,75,52
76,76,51
77,77,50
78,78,49
79,79,48
80,80,47
81,81,46
82,82,45
83,83,44
84,84,43
85,85,42
86,86,41
87,87,40
88,88,39
89,89,38
90,90,37
91,91,36
92,92,35
93,93,34
94,94,33
95,95,32
96,96,31
97,97,30
98,98,29
99,99,28
